Risk ID,Risk Scenario,Category,Threat Source,Existing Controls,Control Effectiveness,Likelihood,Impact,Inherent Score,Inherent Band,Above Appetite,Treatment Option,Treatment Summary,NIST CSF 2.0,ISO 27001:2022 Annex A,Entra Capability,Risk Owner,Control Owner,Residual Likelihood,Residual Impact,Residual Score,Residual Band,Technical Evidence,Status,Next Review
R-01,"Terminated employees retain active accounts and application access after their last working day, enabling post-employment data access or malicious action.",Lifecycle,Insider / former insider,"Manual HR email to service desk; disable performed on best effort",Ineffective,4,5,20,Critical,Yes,Mitigate,"Automate leaver deprovisioning from HR source of authority with same-day disable, session revocation and 30-day account retention before deletion.",PR.AA-01,A.5.18,"Entra Connect / HR-driven provisioning, Lifecycle Workflows",CIO,IAM Lead,1,5,5,Low,Lab 2,Treatment approved,Q+1
R-02,"Permanent standing Global Administrator and Privileged Role Administrator assignments increase the blast radius of any single credential compromise.",Privileged Access,External attacker,"Admin accounts exist as separate identities; no PIM",Partially effective,3,5,15,High,Yes,Mitigate,"Convert standing assignments to PIM eligible with approval, justification, MFA on activation and maximum 4-hour elevation. Reduce permanent Global Admins to two break-glass identities.",PR.AA-05,A.8.2,"Entra ID Governance - Privileged Identity Management",CISO,IAM Lead,1,5,5,Low,Lab 9,Treatment approved,Q+1
R-03,"Contractors retain access beyond engagement end dates because no contract end date is held against the identity and no owner is accountable for closure.",Lifecycle,Third party,"Manager verbally notifies service desk at end of engagement",Ineffective,4,4,16,High,Yes,Mitigate,"Mandatory sponsor and expiry date on every non-employee identity; automated expiry with 14-day sponsor re-attestation via entitlement management access packages.",ID.AM-05,A.5.16,"Entra ID Governance - Entitlement Management, access package expiry",COO,IAM Lead,2,4,8,Moderate,Lab 9,Treatment approved,Q+1
R-04,"Users accumulate entitlements after internal transfers because access is added at the new role and never removed from the previous one.",Entitlement Creep,Insider,"None - additive provisioning only",Absent,4,3,12,Moderate,No,Mitigate,"Mover event triggers role-based access recalculation and manager re-certification of retained entitlements within 10 business days.",PR.AA-05,A.5.18,"Lifecycle Workflows, dynamic group membership, access reviews",HR Director,IAM Lead,2,3,6,Low,Lab 2,Treatment approved,Q+2
R-05,"Critical applications (SAP, Dynamics 365, quality system) undergo no periodic access certification, so inappropriate entitlements persist indefinitely and cannot be evidenced to auditors.",Governance,Insider / audit finding,"Ad hoc review by application owners at unpredictable intervals",Ineffective,4,4,16,High,Yes,Mitigate,"Quarterly access certification for Tier 1 applications with named application owners, auto-revoke on non-response and exception register.",GV.OV-03,A.5.18,"Entra ID Governance - Access Reviews",CFO,Application Owners,2,4,8,Moderate,Lab 9,Treatment approved,Q+1
R-06,"MFA is not consistently enforced. Coverage gaps exist for service accounts, contractors and legacy client access, allowing credential-only authentication to reach corporate data.",Authentication,External attacker,"MFA enabled per-user for approximately 70 percent of employees; no policy-based enforcement",Partially effective,4,5,20,Critical,Yes,Mitigate,"Conditional Access policy enforcing MFA for all users and all cloud apps, with phishing-resistant methods mandated for privileged roles and finance. Report-only piloting then enforcement.",PR.AA-03,A.8.5,"Conditional Access, Authentication Methods policy, Authentication Strengths",CISO,IAM Lead,1,5,5,Low,Labs 5 and 6,Treatment approved,Q+1
R-07,"Legacy authentication protocols remain permitted, providing a route that bypasses Conditional Access and MFA entirely.",Authentication,External attacker,"None - legacy auth not blocked",Absent,4,4,16,High,Yes,Mitigate,"Block legacy authentication via Conditional Access after 90-day sign-in log analysis and remediation of the four dependent service accounts identified.",PR.AA-03,A.8.5,"Conditional Access - block legacy authentication",CISO,IAM Lead,1,4,4,Low,Lab 6,Treatment approved,Q+1
R-08,"Workload identities - including two Copilot agents and four Power Platform service principals - hold broad, unreviewed Microsoft Graph application permissions granted during a pilot and never revisited.",Workload Identity,External attacker / insider,"Admin consent required for new grants; no review of existing grants",Partially effective,4,5,20,Critical,Yes,"Mitigate, residual accepted","Inventory all workload identities with owner and business justification; revoke unused permissions to least privilege; apply Conditional Access for workload identities. Full lifecycle governance deferred pending Workload Identities Premium licensing.",ID.AM-05,A.5.16,"App registrations, Graph permission review, Workload Identity Federation",CISO,IAM Lead,2,5,10,Moderate,Labs 6 and 10,"Partially treated - residual formally accepted",Q+2
R-09,"Guest and B2B partner accounts have no expiry, no sponsor and no periodic review, so external access persists after collaboration ends.",External Access,Third party,"Guest invitation restricted to admins",Partially effective,3,3,9,Moderate,No,Mitigate,"Guest access governed through access packages with sponsor, expiry and semi-annual review; dormant guests over 90 days auto-removed.",ID.AM-05,A.5.16,"Entitlement Management, Access Reviews for guests",CISO,IAM Lead,2,3,6,Low,Lab 9,Treatment approved,Q+2
R-10,"Emergency break-glass accounts are undocumented, unmonitored and have never been tested, risking either lockout during an incident or undetected misuse.",Privileged Access,External attacker / availability,"Two accounts believed to exist; credentials location unclear",Ineffective,2,5,10,Moderate,No,Mitigate,"Formally define two cloud-only break-glass accounts excluded from CA, with FIDO2 keys in physical custody, alerting on any sign-in, and semi-annual tested use.",PR.AA-05,A.8.2,"Conditional Access exclusions, sign-in alerting via Log Analytics",CISO,IAM Lead,1,5,5,Low,Labs 9 and 10,Treatment approved,Q+1
