Risk ID,Risk Scenario,AI Risk Category,Systems Affected,NIST AI RMF Function,Likelihood,Impact,Inherent Score,Band,Above Appetite,Treatment,Residual L,Residual I,Residual Score,Enterprise Link
AI-01,"If staff continue using unapproved consumer AI services, confidential commercial and personal data may be disclosed outside Northstar's control with no record of what was submitted.",Data leakage,AI-SYS-13 AI-SYS-14,GOVERN,5,4,20,Critical,Yes,"Block unapproved services at egress; provide sanctioned alternative; monitor and alert on attempts; amnesty period with communications",2,4,8,EMT-02
AI-02,"If the CV screening tool produces systematically different outcomes across protected characteristics, Northstar may discriminate unlawfully at scale and be unable to explain any individual decision.",Bias and fairness,AI-SYS-11,MEASURE,3,5,15,High,Yes,"Vendor bias testing evidence required; human review of all rejections; explainability record per decision; classify as high-risk and apply EU AI Act obligations",1,5,5,New
AI-03,"If AI agents and workload identities retain broad directory permissions granted during pilots, compromise of any one may yield directory-wide access that no lifecycle process will revoke.",Excessive privilege,AI-SYS-02 AI-SYS-03 AI-SYS-04 AI-SYS-05,MANAGE,4,5,20,Critical,Yes,"Inventory all agent identities with owner; revoke to least privilege; scoped permissions per agent; quarterly review",2,5,10,EMT-03
AI-04,"If an agent operates without a documented authority boundary, it may take or recommend action against production financial systems outside its intended scope.",Authority and autonomy,AI-SYS-04 AI-SYS-05 AI-SYS-09,GOVERN,3,5,15,High,Yes,"Mandatory authority boundary per system; deployment blocked without it; boundary enforced technically not by policy",1,5,5,EMT-01
AI-05,"If hallucinated or unverified AI output reaches a customer, Northstar may communicate incorrect commitments on price, availability or specification.",Output reliability,AI-SYS-03 AI-SYS-05 AI-SYS-14,MEASURE,4,3,12,Moderate,No,"Mandatory human review for customer-facing output; confidence thresholds; output logging for dispute resolution",2,3,6,EMT-04
AI-06,"If an agent processes untrusted external content, instructions embedded in that content may cause it to act outside its intended purpose.",Prompt injection,AI-SYS-05 AI-SYS-03,MANAGE,3,4,12,Moderate,No,"Treat external content as untrusted input; separate instruction and data channels; restrict agent tool access; monitor anomalous actions",2,4,8,New
AI-07,"If a vendor's model provider trains on Northstar data, commercially sensitive information may be absorbed into a model serving other customers with no route to recall it.",Vendor model training,AI-SYS-06 AI-SYS-11 AI-SYS-07,GOVERN,4,5,20,Critical,Yes,"Contractual prohibition on training use; written opt-out evidenced before data transfer; annual confirmation; standard clause in all AI procurement",1,5,5,VR-01
AI-08,"If the person who built an agent leaves and no owner is recorded, the agent continues operating with no accountability for its behaviour or its access.",Orphaned ownership,AI-SYS-05 AI-SYS-13 AI-SYS-14,GOVERN,4,3,12,Moderate,No,"Named owner mandatory at registration; ownership transfer in leaver process; agents without owner disabled after 30 days",1,3,3,EMT-03
AI-09,"If a forecasting model degrades without detection, inventory and production decisions may be based on progressively wrong predictions.",Model drift,AI-SYS-06 AI-SYS-12,MEASURE,3,4,12,Moderate,No,"Accuracy monitoring against actuals; drift thresholds with alerting; documented retraining trigger; periodic revalidation",2,4,8,New
AI-10,"If Copilot surfaces content from overshared repositories, staff may access information they were never intended to see, at a speed and scale manual browsing never permitted.",Oversharing amplification,AI-SYS-01,MAP,4,4,16,High,Yes,"Remediate SharePoint and OneDrive oversharing before broad Copilot enablement; sensitivity labelling; restricted search scope; access review of high-risk sites",2,4,8,New
AI-11,"If agent actions are not logged, Northstar cannot determine what an agent did, on whose behalf, or with what data during an investigation.",Auditability,AI-SYS-02 AI-SYS-03 AI-SYS-05 AI-SYS-07,MANAGE,4,3,12,Moderate,No,"Mandatory action logging for all A1 and above; 12-month retention; logs routed to central workspace",1,3,3,R-14
AI-12,"If the CV screening tool is not treated as a high-risk AI system, Northstar may fail obligations on transparency, human oversight, record-keeping and conformity where the EU AI Act applies.",Regulatory,AI-SYS-11,GOVERN,3,4,12,Moderate,No,"Classify formally as high-risk; apply transparency notice, human oversight, logging and record-keeping obligations; vendor conformity evidence",1,4,4,REG-01
AI-13,"If the predictive maintenance model fails silently, maintenance may be scheduled incorrectly, causing unplanned plant downtime.",Model reliability,AI-SYS-12,MEASURE,2,4,8,Moderate,No,"Fallback to schedule-based maintenance on model unavailability; accuracy monitoring; engineer override always available",1,4,4,New
AI-14,"If personal data is included in prompts without lawful basis, Northstar may process personal data outside the purposes for which it was collected.",Privacy,AI-SYS-01 AI-SYS-02 AI-SYS-03 AI-SYS-13,GOVERN,4,4,16,High,Yes,"Data protection impact assessment per system; prompt data minimisation guidance; technical controls on sensitive data categories; lawful basis recorded",2,4,8,DAT-01
AI-15,"If one agent can invoke another, a chain of individually bounded agents may produce a combined privilege path that no single assessment reviewed.",Agent chaining,AI-SYS-02 AI-SYS-03 AI-SYS-04,MAP,2,5,10,Moderate,No,"Map agent-to-agent invocation; assess combined privilege of any chain; prohibit chaining across sensitivity boundaries without review",1,5,5,New
AI-16,"If inference consumption is uncontrolled, AI spend may escalate without corresponding business value or budget visibility.",Cost,AI-SYS-08 AI-SYS-09,MANAGE,3,2,6,Low,No,"Consumption budgets per system with alerting; value review at each renewal",1,2,2,CLD-03
