Control ID,Control Statement,Control Type,Automation,Risks Addressed,NIST CSF 2.0,ISO 27001:2022,Control Owner,Design Effectiveness,Operating Effectiveness,Overall Rating
C-01,"Conditional Access policy enforces multi-factor authentication for all users accessing cloud applications.",Preventive,Automated,CYB-01 CYB-05,PR.AA-03,A.8.5,Head of IAM,Ineffective,Not operating,Ineffective
C-02,"Phishing-resistant authentication is required for all privileged role activation and finance system access.",Preventive,Automated,CYB-01 CYB-04,PR.AA-03,A.8.5,Head of IAM,Absent,Not operating,Absent
C-03,"Privileged directory roles are assigned as eligible only with approval, justification and time limit on activation.",Preventive,Automated,CYB-04,PR.AA-05,A.8.2,Head of IAM,Absent,Not operating,Absent
C-04,"Segregation of duties conflicts in finance entitlements are detected and reported quarterly.",Detective,Manual,CYB-01,GV.RR-02,A.5.15,Finance Systems Owner,Ineffective,Not operating,Ineffective
C-05,"Internet-facing vulnerabilities rated critical or high are remediated within defined SLA.",Corrective,Partial,CYB-03,ID.RA-01,A.8.8,Head of Infrastructure,Effective,Not operating,Ineffective
C-06,"Endpoint detection and response is deployed and reporting on all corporate endpoints.",Detective,Automated,CYB-02,DE.CM-01,A.8.7,Head of Security Operations,Effective,Partially operating,Partially effective
C-07,"IT and operational technology networks are segmented to prevent lateral movement.",Preventive,Automated,CYB-02,PR.IR-01,A.8.22,Head of Infrastructure,Ineffective,Partially operating,Ineffective
C-08,"Simulated phishing is conducted quarterly with targeted follow-up training.",Detective,Partial,CYB-05,PR.AT-01,A.6.3,Head of Security Operations,Absent,Not operating,Absent
C-09,"Cloud resource configuration is continuously assessed against a defined secure baseline.",Detective,Automated,CLD-01,DE.CM-09,A.8.9,Head of Cloud Platform,Absent,Not operating,Absent
C-10,"Critical services have documented and tested cross-region failover.",Corrective,Partial,CLD-02 RES-01,RC.RP-01,A.5.30,Head of Cloud Platform,Ineffective,Not operating,Ineffective
C-11,"Cloud consumption is monitored against budget with alerting and quota enforcement.",Detective,Automated,CLD-03,ID.AM-08,A.8.6,Head of Cloud Platform,Absent,Not operating,Absent
C-12,"Personal data retention periods are technically enforced and evidenced.",Preventive,Partial,DAT-01,PR.DS-01,A.5.33,Data Protection Officer,Ineffective,Not operating,Ineffective
C-13,"Data residency is enforced through platform region restrictions on all regulated workloads.",Preventive,Automated,DAT-02,PR.DS-01,A.5.34,Data Protection Officer,Partially effective,Partially operating,Partially effective
C-14,"Master data is validated automatically against defined quality rules before reporting.",Detective,Automated,DAT-03,GV.OV-03,A.5.12,Head of Data,Absent,Not operating,Absent
C-15,"Critical suppliers are subject to documented due diligence at onboarding and annual reassessment.",Preventive,Manual,TPR-01 TPR-02,GV.SC-07,A.5.19,Vendor Manager,Ineffective,Not operating,Ineffective
C-16,"Contingency and exit plans exist and are tested for each critical technology supplier.",Corrective,Manual,TPR-01 TPR-03,GV.SC-08,A.5.30,Vendor Manager,Absent,Not operating,Absent
C-17,"Every AI system in production is registered with a named owner and documented authority boundary.",Preventive,Manual,EMT-01 EMT-03,GV.RR-02,A.5.16,AI product owners,Absent,Not operating,Absent
C-18,"Use of unapproved external AI services is technically blocked and monitored.",Preventive,Automated,EMT-02,PR.DS-02,A.8.23,Head of IT Operations,Absent,Not operating,Absent
C-19,"Workload identity permissions are inventoried, owned and reviewed against least privilege.",Detective,Partial,EMT-03,PR.AA-05,A.5.16,Head of IAM,Absent,Not operating,Absent
C-20,"Consequential AI-generated output requires documented human review before action.",Preventive,Manual,EMT-04,GV.RR-02,A.5.4,AI product owners,Ineffective,Not operating,Ineffective
C-21,"All production changes follow the approved change process with rollback defined.",Preventive,Partial,OPS-01,PR.PS-06,A.8.32,Head of IT Operations,Effective,Partially operating,Partially effective
C-22,"Technology assets are tracked through lifecycle with end-of-life remediation planned.",Preventive,Partial,OPS-02,ID.AM-01,A.5.9,Head of Infrastructure,Ineffective,Not operating,Ineffective
C-23,"Backup restoration is tested at defined intervals and results evidenced.",Corrective,Manual,RES-02,RC.RP-01,A.8.13,Head of IT Operations,Effective,Not operating,Ineffective
C-24,"Regulatory notification triggers are embedded in the incident management process.",Corrective,Manual,REG-01,RS.CO-02,A.5.24,Head of Security Operations,Ineffective,Partially operating,Ineffective
C-25,"Control operation evidence is centrally retained and available for customer assurance.",Detective,Partial,REG-02,GV.OV-03,A.5.36,Head of Technology Risk,Absent,Not operating,Absent
