Risk ID,Risk Scenario (abbreviated),Category,Inherent L,Inherent I,Inherent Score,Treatment Option,Treatment Summary,Controls Implemented,Wave,Residual L,Residual I,Residual Score,Residual Band,Acceptance Ref,Risk Owner
CYB-01,Credential compromise enables fraudulent vendor payment,Cybersecurity,4,5,20,Mitigate,"Enforce MFA by Conditional Access for all users; phishing-resistant methods for finance; quarterly SoD conflict reporting",C-01 C-02 C-04,1,1,5,5,Low,,CISO
CYB-02,Ransomware halts multi-site production,Cybersecurity,3,5,15,"Mitigate, residual accepted","Complete EDR coverage to 100%; restore testing; IT/OT segmentation deferred to FY27 capital cycle",C-06 C-23,1,2,5,10,Moderate,ACC-02,CISO
CYB-03,Unpatched internet-facing system exploited,Cybersecurity,4,4,16,Mitigate,"Enforce remediation SLA with automated escalation; clear the 34 criticals past SLA",C-05,1,2,4,8,Moderate,,CISO
CYB-04,Standing privileged account compromised,Cybersecurity,3,5,15,Mitigate,"Convert 68 standing assignments to eligible with approval, MFA on activation and 4-hour limit",C-03 C-02,1,1,5,5,Low,,CISO
CYB-05,Phishing leads to business email compromise,Cybersecurity,4,4,16,Mitigate,"MFA enforcement plus quarterly phishing simulation with targeted follow-up",C-01 C-08,2,2,4,8,Moderate,,CISO
CLD-01,Misconfigured cloud storage exposes data,Cloud & Infrastructure,3,5,15,Mitigate,"Deploy continuous configuration compliance scanning against secure baseline with auto-remediation",C-09,2,1,5,5,Low,,CIO
CLD-02,Regional outage with no tested failover,Cloud & Infrastructure,2,4,8,Mitigate,Document and test cross-region failover for the 6 critical services currently untested,C-10,3,1,4,4,Low,,CIO
CLD-03,Unmanaged capacity and cost growth,Cloud & Infrastructure,3,3,9,Mitigate,Budget alerting and quota enforcement per subscription,C-11,3,2,3,6,Low,,CIO
DAT-01,Personal data retained beyond lawful basis,Data,4,4,16,Mitigate,"Build data inventory; apply technical retention enforcement to identified personal data stores",C-12,2,2,4,8,Moderate,,CCO
DAT-02,Data processed outside approved jurisdiction,Data,3,4,12,Mitigate,Extend region restrictions from 2 to all 5 major platforms,C-13,2,1,4,4,Low,,CCO
DAT-03,Master data quality undermines reporting,Data,3,4,12,Mitigate,Automated validation rules applied before period-end reporting,C-14,3,2,4,8,Moderate,,CIO
TPR-01,Critical SaaS outage halts order processing,Third Party,3,5,15,"Mitigate, residual accepted","Due diligence reassessment; documented manual fallback process; contingency plan tested annually",C-15 C-16,2,2,5,10,Moderate,ACC-03,Procurement Director
TPR-02,Supplier breach exposes Northstar data,Third Party,3,5,15,"Mitigate, residual accepted","Annual reassessment cycle; subcontractor mapping; contractual incident notification within 24 hours",C-15,2,2,5,10,Moderate,ACC-03,Procurement Director
TPR-03,Concentration across ERP identity and email,Third Party,2,5,10,Accept,"Concentration measured and reported; exit plan documented. Diversification not commercially viable this cycle.",C-16,3,2,5,10,Moderate,ACC-01,Procurement Director
EMT-01,AI agent acts outside authority boundary,Emerging Technology,3,5,15,Mitigate,"Mandatory AI system registration with named owner and documented authority boundary; deployment blocked without it",C-17,1,1,5,5,Low,,CIO
EMT-02,Confidential data into unapproved public AI tools,Emerging Technology,5,4,20,Mitigate,"Technically block unapproved AI services; provide sanctioned alternative; monitor and alert on attempts",C-18,1,2,4,8,Moderate,,CIO
EMT-03,Workload identities hold unreviewed permissions,Emerging Technology,4,5,20,"Mitigate, residual accepted","Inventory all 340 workload identities with owner; revoke to least privilege. Full lifecycle governance requires additional licensing deferred to FY27.",C-19 C-17,1,2,5,10,Moderate,ACC-04,CIO
EMT-04,AI output relied on without human verification,Emerging Technology,4,3,12,Mitigate,Mandatory documented human review for consequential AI output,C-20,3,2,3,6,Low,,CIO
OPS-01,Unauthorised change causes outage,Technology Operations,3,4,12,Mitigate,"Extend change control to standard changes; detect and alert on out-of-process change",C-21,2,1,4,4,Low,,CIO
OPS-02,End-of-life systems unsupported,Technology Operations,3,4,12,Mitigate,"Lifecycle tracking extended beyond servers; remediation plan for the 14 identified EOL systems",C-22,3,2,4,8,Moderate,,CIO
RES-01,Recovery exceeds maximum tolerable disruption,Resilience,3,5,15,"Mitigate, residual accepted","RTO defined for all 9 critical services; end-to-end recovery tested annually. Full resilience uplift depends on FY27 platform investment.",C-10 C-23,2,2,5,10,Moderate,ACC-05,COO
RES-02,Backup restore fails at point of need,Resilience,2,5,10,Mitigate,Quarterly restore testing with evidenced results,C-23,1,1,5,5,Low,,COO
REG-01,Regulatory notification missed or late,Compliance & Regulatory,2,4,8,Mitigate,Embed notification triggers and timers into incident management workflow,C-24,2,1,4,4,Low,,CCO
REG-02,Cannot evidence controls to customers,Compliance & Regulatory,3,4,12,Mitigate,Central control evidence repository maintained by second line,C-25,3,2,4,8,Moderate,,CCO
