Risk ID,Risk Scenario,L1 Category,L2 Sub-category,Causal Driver,Business Objective Threatened,Existing Controls,Control Effectiveness,Likelihood,Impact,Inherent Score,Band,Above Appetite,Risk Owner,Control Owner,Evidence Basis,Status
CYB-01,"If an attacker obtains valid credentials for a finance user, they may authorise fraudulent vendor payments, resulting in direct financial loss and material audit finding.",Cybersecurity,Identity & access,Internal control weakness,Financial integrity,"MFA registered by 71% of users; no policy enforcement; no SoD detection",Partially effective,4,5,20,Critical,Yes,CISO,Head of IAM,Identity deep-dive R-01/R-06/R-13,Assessed
CYB-02,"If ransomware reaches plant operational systems via the IT network, production may halt across multiple sites, resulting in unfulfilled customer orders and contractual penalties.",Cybersecurity,Malware/ransomware,External threat,Customer supply continuity,"EDR deployed to 82% of endpoints; network segmentation partial; backups untested",Partially effective,3,5,15,High,Yes,CISO,Head of Security Operations,Incident data + architecture review,Assessed
CYB-03,"If an internet-facing system remains unpatched beyond its remediation window, an attacker may gain initial access to the corporate estate.",Cybersecurity,Vulnerability management,External threat,Confidentiality,"Monthly scanning; remediation SLA defined but not enforced; 34 criticals past SLA",Partially effective,4,4,16,High,Yes,CISO,Head of Infrastructure,Vulnerability scan output,Assessed
CYB-04,"If a standing privileged administrator account is compromised, an attacker may obtain permanent unmonitored control of the identity platform.",Cybersecurity,Identity & access,Internal control weakness,Confidentiality and integrity,"Separate admin accounts; no PIM; 68 standing privileged assignments",Ineffective,3,5,15,High,Yes,CISO,Head of IAM,Identity deep-dive R-02,Assessed
CYB-05,"If a targeted phishing campaign succeeds against finance or executive staff, an attacker may initiate business email compromise leading to fraudulent payment instruction.",Cybersecurity,Data exfiltration,External threat,Financial integrity,"Email filtering; annual awareness training; no phishing simulation programme",Partially effective,4,4,16,High,Yes,CISO,Head of Security Operations,Threat intelligence + sector benchmark,Assessed
CLD-01,"If cloud storage is provisioned without enforced access policy, customer or personal data may be exposed publicly, resulting in reportable breach.",Cloud & Infrastructure,Configuration,Internal control weakness,Regulatory compliance,"Landing zone policy exists; no automated configuration compliance scanning",Ineffective,3,5,15,High,Yes,CIO,Head of Cloud Platform,Configuration review,Assessed
CLD-02,"If the primary cloud region becomes unavailable, services without cross-region failover may be unavailable for an extended period.",Cloud & Infrastructure,Platform dependency,External dependency,Operational continuity,"Backups replicated cross-region; no tested failover for 6 of 9 critical services",Partially effective,2,4,8,Moderate,No,CIO,Head of Cloud Platform,Architecture review,Assessed
CLD-03,"If cloud capacity and cost controls remain absent, unmanaged consumption growth may force reactive service reduction or unplanned budget escalation.",Cloud & Infrastructure,Capacity,Internal control weakness,Cost efficiency,"Monthly cost review; no budget alerting or quota enforcement",Ineffective,3,3,9,Moderate,No,CIO,Head of Cloud Platform,Financial data,Assessed
DAT-01,"If personal data is retained beyond its lawful basis, Northstar may be non-compliant with PIPEDA and unable to satisfy a data subject request or regulatory inquiry.",Data,Retention,Internal control weakness,Regulatory compliance,"Retention policy published; no technical enforcement; no data inventory",Ineffective,4,4,16,High,Yes,Chief Compliance Officer,Data Protection Officer,Policy review + sampling,Assessed
DAT-02,"If regulated data is processed or stored outside approved jurisdictions, Northstar may breach contractual and regulatory data residency obligations.",Data,Sovereignty,Internal control weakness,Regulatory compliance,"Region restrictions applied to 2 of 5 major platforms",Partially effective,3,4,12,Moderate,No,Chief Compliance Officer,Data Protection Officer,Platform configuration review,Assessed
DAT-03,"If master data quality controls remain absent, financial and operational reporting may be materially inaccurate, undermining management decisions.",Data,Quality,Internal control weakness,Financial integrity,"Manual reconciliation at period end; no automated validation",Partially effective,3,4,12,Moderate,No,CIO,Head of Data,Finance interview + reconciliation data,Assessed
TPR-01,"If a critical SaaS provider suffers an extended outage, Northstar may be unable to process customer transactions, resulting in service disruption, contractual exposure and revenue loss.",Third Party,Vendor failure,External dependency,Customer supply continuity,"Contractual SLA; no tested contingency; no manual fallback process",Ineffective,3,5,15,High,Yes,Procurement Director,Vendor Manager,Contract review + BIA input,Assessed
TPR-02,"If a supplier holding Northstar data is breached, corporate or personal information may be exposed without Northstar's timely knowledge.",Third Party,Subcontractor (4th party),External dependency,Confidentiality,"Security questionnaire at onboarding only; no reassessment; subcontractors unmapped",Ineffective,3,5,15,High,Yes,Procurement Director,Vendor Manager,Vendor file review,Assessed
TPR-03,"If Northstar continues to concentrate ERP, identity and email with a single provider, a provider-level failure or commercial dispute may disrupt multiple critical services simultaneously.",Third Party,Concentration,External dependency,Operational continuity,"None - concentration not currently measured",Absent,2,5,10,Moderate,No,Procurement Director,Vendor Manager,Supplier portfolio analysis,Assessed
EMT-01,"If an AI agent operates without a defined authority boundary, it may take or recommend action against production financial systems outside its intended scope.",Emerging Technology,Agentic autonomy,Internal control weakness,Financial integrity,"Human review expected but not enforced; no documented authority boundaries",Ineffective,3,5,15,High,Yes,CIO,AI product owners,AI system inventory (partial),Assessed
EMT-02,"If staff continue to use unapproved public AI tools, confidential commercial or personal data may be disclosed outside Northstar's control with no record of what was shared.",Emerging Technology,Shadow adoption,Internal control weakness,Confidentiality,"Acceptable use policy references AI generically; no technical control; no monitoring",Ineffective,5,4,20,Critical,Yes,CIO,Head of IT Operations,Network telemetry sampling,Assessed
EMT-03,"If workload identities and AI agents retain broad directory permissions granted during pilots, a compromise of any one may yield directory-wide access that no joiner-mover-leaver process will ever revoke.",Emerging Technology,AI/ML governance,Internal control weakness,Confidentiality and integrity,"Admin consent required for new grants only; 340 existing service principals never reviewed",Ineffective,4,5,20,Critical,Yes,CIO,AI product owners,Identity deep-dive R-08,Assessed
EMT-04,"If AI-generated output is relied upon without human verification, incorrect information may inform operational or customer-facing decisions.",Emerging Technology,Model risk,Internal control weakness,Operational quality,"Guidance issued; no mandatory review step for consequential outputs",Partially effective,4,3,12,Moderate,No,CIO,AI product owners,Process walkthrough,Assessed
OPS-01,"If changes are deployed outside the approved change process, an unauthorised change may cause production outage without rollback capability.",Technology Operations,Change,Internal control weakness,Operational continuity,"CAB operates for major change; standard change unmonitored; 11 unauthorised changes in 90 days",Partially effective,3,4,12,Moderate,No,CIO,Head of IT Operations,Change record analysis,Assessed
OPS-02,"If end-of-life systems remain in production without vendor support, security patches may be unavailable when a vulnerability is disclosed.",Technology Operations,Asset lifecycle,Internal control weakness,Confidentiality,"Lifecycle tracking for servers only; 14 EOL systems identified with no remediation plan",Ineffective,3,4,12,Moderate,No,CIO,Head of Infrastructure,Asset inventory,Assessed
RES-01,"If a critical technology service fails, recovery may exceed the maximum tolerable disruption for customer order processing, resulting in lost orders and contractual penalties.",Resilience,Recovery,Internal control weakness,Customer supply continuity,"RTO documented for 4 of 9 critical services; recovery never tested end to end",Ineffective,3,5,15,High,Yes,COO,Head of IT Operations,Service catalogue review,Assessed
RES-02,"If backup integrity is not verified, a restore may fail at the point of need, extending outage duration beyond any recovery objective.",Resilience,Recovery,Internal control weakness,Operational continuity,"Backups run and monitored for completion; restore testing not performed since 2024",Partially effective,2,5,10,Moderate,No,COO,Head of IT Operations,Backup job records,Assessed
REG-01,"If a reportable incident is not identified and escalated promptly, Northstar may breach statutory notification timeframes.",Compliance & Regulatory,Reporting,Internal control weakness,Regulatory compliance,"Incident process defined; regulatory notification triggers not embedded in it",Partially effective,2,4,8,Moderate,No,Chief Compliance Officer,Head of Security Operations,Process review,Assessed
REG-02,"If Northstar cannot evidence control operation to customers, tier-1 supply contracts conditional on security assurance may not be renewed.",Compliance & Regulatory,Contractual,Internal control weakness,Revenue retention,"Questionnaires answered ad hoc; no control evidence repository",Ineffective,3,4,12,Moderate,No,Chief Compliance Officer,Head of Technology Risk,Customer questionnaire history,Assessed
