Issue ID,Finding,Source Control,Related Risk,Severity,Root Cause Category,Owner,Raised,Due,Status,Remediation Action
ISS-01,"34 critical vulnerabilities on internet-facing assets exceed the defined remediation SLA; oldest is 118 days.",C-05,CYB-03,High,Control not operating,Head of Infrastructure,Week 1,Week 6,Open,"Clear backlog; implement automated escalation at 75% of SLA elapsed"
ISS-02,"Backup restoration has not been tested since 2024. Restore capability is unverified for all 9 critical services.",C-23,RES-02,High,Control not operating,Head of IT Operations,Week 1,Week 8,Open,"Perform full restore test for each critical service; establish quarterly cycle"
ISS-03,"MFA is registered by 71% of users and enforced by policy for 0%. Service accounts and contractors excluded entirely.",C-01,CYB-01 CYB-05,Critical,Control absent,Head of IAM,Week 1,Week 4,Open,"Deploy Conditional Access in report-only then enforce; remediate 4 dependent service accounts"
ISS-04,"68 privileged directory role assignments are permanent and standing, including 12 Global Administrators.",C-03,CYB-04,Critical,Control absent,Head of IAM,Week 1,Week 6,Open,"Convert to eligible assignments with approval, MFA on activation and 4-hour maximum"
ISS-05,"340 workload identities exist with no owner recorded; 6 hold broad directory permissions granted during a 2025 pilot and never reviewed.",C-19,EMT-03,Critical,Control absent,Head of IAM,Week 1,Week 10,Open,"Inventory with named owner and justification; revoke unused permissions to least privilege"
ISS-06,"Regular traffic to consumer AI services observed from Finance and Sales endpoints. No technical control; no record of data submitted.",C-18,EMT-02,Critical,Control absent,Head of IT Operations,Week 1,Week 6,Open,"Block unapproved AI services at egress; provide sanctioned alternative; monitor attempts"
ISS-07,"No AI system in production has a documented authority boundary or named owner.",C-17,EMT-01 EMT-03,High,Control absent,CIO,Week 2,Week 8,Open,"Mandatory registration; block deployment without owner and boundary"
ISS-08,"EDR is deployed to 82% of corporate endpoints. The 18% gap is concentrated in plant-adjacent devices.",C-06,CYB-02,High,Control partially operating,Head of Security Operations,Week 2,Week 10,Open,"Complete deployment; establish coverage KPI with monthly reporting"
ISS-09,"IT and OT networks are not segmented at the two largest plants, permitting lateral movement from corporate to plant systems.",C-07,CYB-02,High,Control design gap,Head of Infrastructure,Week 2,FY27,Deferred,"Segmentation requires capital investment; deferred to FY27. Compensating: EDR completion and monitoring."
ISS-10,"Cloud configuration is not assessed against any defined baseline. No compliance scanning in place.",C-09,CLD-01,High,Control absent,Head of Cloud Platform,Week 3,Week 14,Open,"Deploy continuous configuration compliance scanning with auto-remediation for high-severity drift"
ISS-11,"Data retention policy is published but not technically enforced. No data inventory exists to apply it to.",C-12,DAT-01,High,Control design gap,Data Protection Officer,Week 3,Week 16,Open,"Build data inventory; apply technical retention enforcement to identified personal data stores"
ISS-12,"Region restrictions are applied to 2 of 5 major platforms. Regulated data may reside outside approved jurisdictions on 3 platforms.",C-13,DAT-02,Medium,Control partially operating,Data Protection Officer,Week 3,Week 12,Open,"Extend region restrictions to remaining 3 platforms"
ISS-13,"Supplier due diligence is performed at onboarding only. No reassessment cycle exists. Subcontractors are unmapped for all 11 critical suppliers.",C-15,TPR-01 TPR-02,High,Control design gap,Vendor Manager,Week 3,Week 14,Open,"Establish annual reassessment; map subcontractors; add 24-hour incident notification to contracts"
ISS-14,"No contingency or exit plan exists for any critical technology supplier.",C-16,TPR-01 TPR-03,High,Control absent,Vendor Manager,Week 3,Week 16,Open,"Document manual fallback for order processing; exit plan per critical supplier; test annually"
ISS-15,"11 unauthorised production changes detected in a 90-day sample. Standard changes are not monitored.",C-21,OPS-01,Medium,Control partially operating,Head of IT Operations,Week 4,Week 12,Open,"Extend change control to standard changes; alert on out-of-process change"
ISS-16,"14 end-of-life systems in production with no remediation plan. Lifecycle tracking covers servers only.",C-22,OPS-02,Medium,Control design gap,Head of Infrastructure,Week 4,Week 20,Open,"Extend lifecycle tracking beyond servers; remediation plan per EOL system"
ISS-17,"RTO is documented for 4 of 9 critical services. End-to-end recovery has never been tested.",C-10,RES-01,High,Control design gap,Head of IT Operations,Week 4,Week 18,Open,"Define RTO for all critical services; annual end-to-end recovery test"
ISS-18,"Regulatory notification triggers are not embedded in the incident management process. Assessment depends on individual judgement.",C-24,REG-01,Medium,Control design gap,Head of Security Operations,Week 5,Week 12,Open,"Embed notification triggers and statutory timers into incident workflow"
ISS-19,"No central repository of control evidence. Customer security questionnaires are answered ad hoc with no supporting evidence retained.",C-25,REG-02,Medium,Control absent,Head of Technology Risk,Week 5,Week 20,Open,"Establish control evidence repository maintained by second line"
ISS-20,"No segregation of duties conflict detection in finance. 23 pre-existing conflicts identified during assessment, 6 with no alternative role holder.",C-04,CYB-01,High,Control design gap,Finance Systems Owner,Week 5,Week 16,Open,"Define SoD conflict matrix; quarterly detective reporting; role redesign for the 6 blocked conflicts deferred to FY27"
