Risk ID,Risk Scenario,Domain,Likelihood,Impact,Inherent Score,Band,Above Appetite,Proposed Treatment,Condition Type,Residual L,Residual I,Residual Score,Residual Band
VR-01,"If the LLM sub-processor uses Northstar data for model improvement, commercially sensitive demand and pricing information may be absorbed into a model serving other customers, with no route to recall it.",D-04,4,5,20,Critical,Yes,"Written opt-out from model improvement executed before any data transfer; contractual prohibition on training use; annual written confirmation.",Precedent,1,5,5,Low
VR-02,"If the vendor substitutes a sub-processor without Northstar approval, data may be processed by an entity that has never been assessed.",D-05,4,4,16,High,Yes,"Sub-processor list pinned in contract; substitution requires 60 days notice and Northstar written approval; right to terminate without penalty on objection.",Precedent,1,4,4,Low
VR-03,"If the AI inference component is compromised or misconfigured, Northstar data may be exposed through a pathway that no independent assurance covers.",D-04 D-08,3,5,15,High,Yes,"SOC 2 scope extended to include AI inference at next audit cycle; interim independent penetration test of the inference path at vendor cost.",Precedent,2,5,10,Moderate
VR-04,"If the vendor suffers a breach, Northstar may learn of it after its own regulatory notification window has begun to run.",D-07,3,4,12,Moderate,No,"Contractual notification reduced to 24 hours from vendor awareness, with defined content requirements.",Precedent,1,4,4,Low
VR-05,"If personal data of Northstar customer contacts is processed without documented lawful basis, Northstar may be in breach of PIPEDA as controller.",D-03,3,5,15,High,Yes,"Executed DPA specifying Northstar as controller and vendor as processor; processing limited to documented instructions; no independent vendor use.",Precedent,1,5,5,Low
VR-06,"If vendor administrators hold standing access to the Northstar tenant, misuse or compromise of a vendor account may expose data without Northstar visibility.",D-02,3,4,12,Moderate,No,"Just-in-time vendor access with Northstar approval; admin activity logs exposed to Northstar; quarterly review.",Post-contract,2,4,8,Moderate
VR-07,"If the vendor fails or the relationship ends, Northstar may be unable to recover usable data or transition, because export is proprietary and untested.",D-10,3,5,15,High,Yes,"Tested export to open format before go-live; documented conversion path; deletion certificate on termination; exit plan reviewed annually.",Precedent,2,5,10,Moderate
VR-08,"If the vendor's 8-hour RTO applies during a peak ordering period, forecasting unavailability may disrupt order planning beyond Northstar's 4-hour tolerance.",D-06,3,4,12,Moderate,No,"Documented manual fallback for demand planning; RTO commitment renegotiated to 4 hours at next renewal.",Post-contract,2,4,8,Moderate
VR-09,"If the vendor is hosted in the same cloud region as Northstar's ERP and identity platform, a regional provider failure may remove multiple critical services simultaneously.",D-06,2,5,10,Moderate,No,"Concentration recorded in the enterprise register against TPR-03; deployment region confirmed and monitored.",Post-contract,2,5,10,Moderate
VR-10,"If liability is capped at 12 months of fees, Northstar may carry the majority of loss from a vendor-caused incident.",D-09,3,4,12,Moderate,No,"Enhanced liability cap for data breach and confidentiality claims; vendor cyber insurance evidenced annually.",Precedent,2,4,8,Moderate
